Budget,Runtime,Popularity,Vote_Average,Vote_Count,Genres,Revenue,Release_Year,Release_Month,Release_Quarter,Revenue_Log,Budget_Log
42000000.0,154.0,9.678367,6.6,513.0,Drama,270248367.0,1993,6,2,19.414851975612443,17.553180200057167
20000000.0,112.0,5.990572,6.0,429.0,Family,153698625.0,1993,7,3,18.850504268976348,16.811242881518265
44000000.0,130.0,10.08937,7.2,1240.0,Adventure,368875760.0,1993,8,3,19.725970454254732,17.599700214609808
35000000.0,115.0,4.653462,5.9,44.0,History,18635620.0,1993,12,4,16.74058541472984,17.370858648025116
18000000.0,97.0,7.834351,6.1,237.0,Action,74189677.0,1993,8,3,18.122135587948716,16.705882371415992
25000000.0,86.0,13.482371,6.2,463.0,Action,133752825.0,1993,5,2,18.711504072489138,17.034386422832473
40000000.0,128.0,12.637158,6.8,392.0,Action,176997168.0,1993,7,3,18.99164429605991,17.50439003707821
13000000.0,133.0,7.405895,7.6,363.0,Drama,65796862.0,1993,12,4,18.00208272038703,16.380459992348886
63000000.0,127.0,8.863776,7.6,4956.0,Adventure,920100000.0,1993,6,2,20.63999291883943,17.958645300228824
9000000.0,117.0,8.4337,6.5,209.0,Thriller,2395231.0,1993,9,3,14.688990652611697,16.012735246411598
1500000.0,96.0,4.948569,6.1,111.0,Action,418961.0,1993,10,4,12.94553550266739,14.220976332738882
85000000.0,130.0,9.434006,6.1,725.0,Adventure,137298489.0,1993,6,2,18.73766787286272,18.258161826219297
13500000.0,104.0,8.939404,7.1,169.0,Comedy,11285588.0,1993,8,3,16.23903716004854,16.41820031748273
3500000.0,97.0,5.260924,7.2,179.0,Drama,27900000.0,1993,5,2,17.14413728263389,15.068273812173887
55000000.0,133.0,13.106291,5.8,261.0,Action,121969216.0,1996,3,1,18.619279251187436,17.822843761378564
25000000.0,125.0,11.16553,7.0,1638.0,Comedy,441286195.0,1993,11,4,19.905204193442355,17.034386422832473
12000000.0,107.0,9.9697,4.8,202.0,Adventure,15826984.0,1994,7,3,16.57722695256745,16.300417291085605
20000000.0,118.0,9.715187,6.1,86.0,Action,15340000.0,1994,4,2,16.54597441909243,16.811242881518265
30000000.0,138.0,8.040589,7.2,376.0,Crime,135130999.0,1993,11,4,18.7217552362681,17.216707972959764
26000000.0,125.0,13.373006,7.6,1019.0,Drama,206678440.0,1993,12,4,19.14667471829307,17.073607134447293
7000000.0,121.0,7.436758,7.1,290.0,Drama,116700000.0,1993,5,2,18.575117105825765,15.76142084987672
14000000.0,109.0,6.972599,6.9,47.0,Drama,27515786.0,1993,7,3,17.13027047064736,16.454567959008102
11000000.0,97.0,5.868677,6.7,99.0,Comedy,11439193.0,1994,3,1,16.252556086888433,16.213405921671733
11500000.0,134.0,12.222576,7.5,213.0,Drama,23237911.0,1993,11,4,16.961295640817006,16.257857680289998
40000000.0,128.0,4.985157,5.9,83.0,Comedy,24332324.0,1994,6,2,17.007316271229797,17.50439003707821
22000000.0,104.0,8.685798,4.2,309.0,Action,10696210.0,1993,4,2,16.18540012457009,16.906553056777135
20000000.0,104.0,17.136672,6.4,575.0,Comedy,35739755.0,1993,7,3,17.391774240587754,16.811242881518265
11500000.0,100.0,9.796318,5.7,36.0,Action,3275585.0,1993,9,3,15.002007342342903,16.257857680289998
800000.0,114.0,0.941994,5.6,10.0,Drama,1001437.0,1993,10,4,13.816947525032393,13.592368256649284
12000000.0,114.0,5.914833,7.2,187.0,Drama,22750363.0,1993,9,3,16.940091703233236,16.300417291085605
22000000.0,195.0,41.725123,8.3,4436.0,Drama,321365567.0,1993,11,4,19.58808987422816,16.906553056777135
13000000.0,95.0,5.305311,6.4,137.0,Comedy,7820688.0,1994,4,2,15.872283216057143,16.380459992348886
25000000.0,108.0,7.881107,5.4,140.0,Adventure,48063435.0,1994,7,3,17.6880322796829,17.034386422832473
21000000.0,105.0,10.234919,6.5,630.0,Comedy,227799884.0,1993,6,2,19.243978104148432,16.860033043306743
40000000.0,108.0,11.23297,4.9,144.0,Drama,116300000.0,1993,5,2,18.571683626087346,17.50439003707821
28000000.0,117.0,96.272374,7.9,3833.0,Science Fiction,33139618.0,1982,6,2,17.316240073215855,17.147715103853763
20000000.0,93.0,8.051914,6.1,131.0,Comedy,11585483.0,1993,7,3,16.265263493137347,16.811242881518265
48000000.0,104.0,7.198455,4.0,236.0,Adventure,20915465.0,1993,5,2,16.85599944327004,17.6867115897055
7400000.0,96.0,3.644641,6.1,53.0,Action,7690013.0,1994,4,2,15.855433162026333,15.816990693309524
50000000.0,102.0,8.012225,5.0,82.0,Action,16478900.0,1994,9,3,16.617591393328727,17.72753358339242
18000000.0,76.0,17.730913,7.6,2135.0,Fantasy,75634409.0,1993,10,4,18.141421896326605,16.705882371415992
30000000.0,105.0,6.34785,6.2,219.0,Action,53898845.0,1993,11,4,17.802619625631475,17.216707972959764
25000000.0,130.0,11.338194,7.4,632.0,Action,56505065.0,1993,12,4,17.849840855813934,17.034386422832473
12500000.0,120.0,17.189328,7.5,762.0,Action,12281551.0,1993,9,3,16.32360885706226,16.341239282272525
27000000.0,80.0,7.436001,6.2,178.0,Fantasy,13670688.0,1994,11,4,16.43076460977087,17.11134746100564
18000000.0,103.0,0.702543,7.1,2487.0,Comedy,476684675.0,1990,11,4,19.982365773654585,16.705882371415992
22000000.0,127.0,11.945397,6.9,1381.0,Fantasy,505000000.0,1990,7,3,20.040068989219833,16.906553056777135
28000000.0,90.0,16.357419,7.4,3495.0,Animation,504050219.0,1992,11,4,20.038186463928767,17.147715103853763
100000000.0,137.0,22.661695,7.7,4274.0,Action,520000000.0,1991,7,3,20.069339371462824,18.420680753952364
22000000.0,181.0,11.654349,7.6,1084.0,Adventure,424208848.0,1990,11,4,19.865736460320466,16.906553056777135
35000000.0,126.0,19.10673,7.0,2145.0,Fantasy,411348924.0,1989,6,2,19.8349523782295,17.370858648025116
19000000.0,119.0,4.307222,8.1,4549.0,Crime,272742922.0,1991,2,1,19.424040235503067,16.759949589762293
1488423.0,83.0,16.263878,6.9,1973.0,Fantasy,184925486.0,1937,12,4,19.035463528934805,14.213228400022265
25000000.0,84.0,23.433511,7.5,3029.0,Romance,377350553.0,1991,11,4,19.74868516482711,17.034386422832473
2600000.0,88.0,14.202284,6.9,1412.0,Animation,84300000.0,1940,2,1,18.24989243483448,14.77102238760702
14000000.0,119.0,13.348451,7.0,1807.0,Romance,463000000.0,1990,3,1,19.953237614210334,16.454567959008102
6244087.0,145.0,11.722424,7.7,266.0,Adventure,638641.0,1969,6,2,13.367099325969543,15.647145654047936
7000000.0,98.0,12.61469,7.7,2080.0,Crime,60611975.0,1996,4,2,17.920003055276915,15.76142084987672
4000000.0,86.0,5.263187,4.9,111.0,Horror,16675000.0,1996,3,1,16.629421209735973,15.201805169084134
4000000.0,78.0,9.834047,7.1,1287.0,Animation,55675257.0,1970,12,4,17.835046405133788,15.201805169084134
30000000.0,129.0,10.326213,7.4,644.0,Crime,102616183.0,1996,4,2,18.44650621705291,17.216707972959764
12000000.0,108.0,4.405169,5.7,17.0,Comedy,4939939.0,1996,3,1,15.412863743341358,16.300417291085605
46000000.0,117.0,11.595316,6.2,240.0,Drama,100860818.0,1996,7,3,18.429252094746452,17.6441519761925
80000000.0,110.0,15.793477,6.7,2677.0,Adventure,457696359.0,1996,5,2,19.94171655278473,18.197537205138154
57000000.0,103.0,23.63659,6.4,553.0,Fantasy,115267375.0,1996,5,2,18.562764996372575,17.858561843342684
38000000.0,79.0,13.217623,6.2,375.0,Adventure,28921264.0,1996,4,2,17.180087695653675,17.453096744006448
13000000.0,91.0,1.296862,4.8,4.0,Comedy,9789900.0,1996,4,2,16.096861902096013,16.380459992348886
80000000.0,88.0,11.054251,6.5,1335.0,Animation,250200000.0,1996,11,4,19.33777115999389,18.197537205138154
9000000.0,98.0,14.304205,5.7,149.0,Science Fiction,2500000.0,1968,10,4,14.731801689838349,16.012735246411598
25000000.0,105.0,9.1861,5.5,26.0,Comedy,10070000.0,1996,4,2,16.125071363999606,17.034386422832473
30000000.0,95.0,7.941972,5.3,126.0,Action,57400547.0,1996,4,2,17.865564408282548,17.216707972959764
31000000.0,74.0,10.813579,6.5,372.0,Animation,74151346.0,1988,11,4,18.12161879226319,17.249497794707484
25530000.0,95.0,4.557006,5.3,85.0,Adventure,20080020.0,1996,5,2,16.815235898603987,17.05536482838727
